building_type,climate_zone,budget_level,area_sqft,floors,ceiling_height,occupancy,operating_hours,building_age,outdoor_temp,humidity,insulation,glass_ratio,recommended_hvac
Industrial,Cold,Medium,126923.37,8.0,17.05,9072.0,12.0,49.0,13.64,34.44,Good,Low,Packaged Unit
Residential,Warm,Low,1854.04,1.0,8.88,,11.0,29.0,30.36,53.39,Poor,Low,Split AC
Residential,Humid,Medium,2161.97,1.0,8.72,53.0,12.0,0.0,36.33,88.37,Good,Medium,Multi-Split
Residential,Warm,,2988.87,1.0,9.96,37.0,13.0,9.0,26.55,58.19,Good,Low,Multi-Split
Residential,Hot,High,500.0,1.0,8.02,4.0,10.0,34.0,42.78,45.2,Average,Medium,Split AC
Residential,Hot,Low,2156.17,1.0,10.23,32.0,12.0,14.0,31.22,44.8,Average,Low,Split AC
Office,Hot,Medium,42052.32,3.0,10.13,1976.0,9.0,2.0,36.82,49.59,Poor,Medium,Split AC
Retail,Cold,Medium,50044.91,1.0,13.42,4332.0,11.0,0.0,21.58,26.61,Poor,High,Central Chiller
Residential,Hot,Low,1175.8,1.0,9.68,41.0,10.0,20.0,35.14,41.66,Poor,Low,Split AC
Residential,Hot,Medium,2614.98,1.0,8.2,21.0,7.0,24.0,42.05,29.5,Average,Low,Multi-Split
Hospital,Hot,Low,255136.57,13.0,11.97,15869.0,23.0,12.0,39.14,30.5,Average,Low,Central Chiller
Office,Cold,High,25715.62,1.0,10.53,1224.0,9.0,4.0,13.31,45.65,Excellent,Medium,VRF
Hospital,Humid,Low,150600.93,7.0,13.09,11911.0,20.0,56.0,33.49,80.12,Poor,Low,Central Chiller
Residential,Cold,Medium,2852.93,1.0,8.63,92.0,10.0,23.0,9.42,10.35,Good,Low,Multi-Split
Industrial,Hot,Low,20027.63,1.0,27.91,534.0,22.0,28.0,39.48,42.32,Average,Medium,Packaged Unit
Residential,Cold,High,1965.62,1.0,9.22,32.0,7.0,19.0,11.98,33.77,Excellent,Low,Multi-Split
Residential,Humid,Medium,1814.86,1.0,,39.0,12.0,24.0,32.36,95.33,Average,Medium,Multi-Split
Retail,Hot,Medium,32811.39,3.0,14.41,2925.0,15.0,5.0,36.56,27.82,Average,Medium,VRF
Office,Humid,Low,14765.82,1.0,12.53,1166.0,11.0,42.0,28.77,91.64,Poor,High,Split AC
Residential,Warm,Medium,1629.38,1.0,8.69,25.0,9.0,0.0,28.37,51.0,Average,Low,Multi-Split
Residential,Humid,Medium,2112.87,1.0,9.23,38.0,7.0,,33.32,88.76,,Low,Split AC
Retail,Humid,Low,23805.2,1.0,13.76,626.0,14.0,9.0,28.32,85.37,Poor,High,VRF
Industrial,Humid,Medium,33291.52,1.0,20.1,1772.0,17.0,37.0,28.65,93.09,Good,Low,VRF
Residential,Cold,Medium,1014.37,1.0,8.31,25.0,8.0,23.0,10.54,56.79,Good,Low,Split AC
Residential,Hot,Low,1415.14,1.0,8.91,31.0,13.0,11.0,37.13,32.05,Average,Medium,Split AC
Residential,Warm,Low,1901.33,1.0,10.73,18.0,12.0,2.0,31.76,37.53,Poor,Low,Split AC
Hospital,Hot,Medium,98074.49,6.0,12.23,13038.0,20.0,53.0,37.04,,Poor,Low,Central Chiller
Office,Hot,High,17792.4,2.0,11.73,1575.0,9.0,12.0,35.23,46.52,Excellent,Medium,VRF
Hospital,Humid,High,33626.09,1.0,10.22,6896.0,21.0,29.0,35.7,76.16,Excellent,Medium,Central Chiller
Retail,Cold,Medium,23069.0,2.0,15.07,1059.0,15.0,21.0,20.98,48.5,Poor,High,Central Chiller
Hospital,Cold,Medium,119297.21,8.0,14.37,5735.0,23.0,29.0,19.21,42.41,Poor,Low,Central Chiller
Industrial,Hot,Low,135958.26,8.0,20.09,5396.0,17.0,0.0,37.7,57.28,Poor,Low,Central Chiller
Residential,Hot,High,1337.88,1.0,9.84,34.0,13.0,29.0,36.88,49.22,Good,Medium,Split AC
Office,Cold,High,4971.46,1.0,13.37,340.0,9.0,13.0,21.44,16.11,Excellent,High,Multi-Split
Residential,Hot,Medium,1426.8,1.0,10.24,15.0,8.0,7.0,44.44,47.12,Average,Medium,Multi-Split
Office,Humid,,28190.9,1.0,11.09,1171.0,10.0,32.0,38.64,89.9,Average,Medium,Packaged Unit
Residential,Hot,Medium,2776.41,,8.94,38.0,13.0,14.0,42.46,21.13,Average,Low,Central Chiller
Office,Humid,Medium,29463.44,1.0,12.98,1409.0,11.0,12.0,25.63,95.87,Good,Medium,Packaged Unit
Retail,Humid,Low,48295.87,2.0,17.15,4346.0,10.0,25.0,24.15,75.9,Poor,High,VRF
Residential,Warm,Medium,2181.47,1.0,9.72,38.0,,1.0,29.49,41.0,Poor,Low,Multi-Split
Residential,Warm,Medium,2306.54,1.0,10.63,34.0,12.0,5.0,30.68,57.68,Average,Low,Split AC
Retail,Cold,Low,45802.48,3.0,14.39,3096.0,11.0,32.0,13.4,31.62,Average,Medium,Packaged Unit
Industrial,Cold,High,,1.0,25.35,583.0,20.0,43.0,20.94,35.88,Average,,Packaged Unit
Office,Cold,Medium,9203.03,1.0,12.81,796.0,11.0,22.0,15.65,25.06,Average,High,Multi-Split
Retail,Warm,Medium,42595.63,4.0,15.44,4929.0,11.0,33.0,26.64,41.23,Average,Medium,Packaged Unit
Office,Cold,High,57351.81,3.0,13.04,3394.0,11.0,43.0,14.77,17.94,Excellent,Medium,VRF
Residential,Warm,Medium,2345.2,1.0,10.73,46.0,6.0,47.0,25.08,54.99,Poor,Medium,Split AC
Residential,Warm,Medium,1602.43,1.0,10.46,25.0,6.0,22.0,35.12,58.7,Good,Low,Split AC
Residential,Humid,High,776.5,3.0,10.56,17.0,9.0,24.0,36.06,80.38,Good,Low,Split AC
Retail,Humid,Low,75920.96,1.0,14.95,10759.0,15.0,25.0,28.75,90.45,Poor,High,Central Chiller
Residential,Hot,High,,1.0,9.5,16.0,10.0,20.0,43.58,35.97,Good,Low,Split AC
Office,Hot,Low,9961.84,1.0,12.28,508.0,10.0,33.0,42.58,46.46,Poor,Medium,Multi-Split
Residential,Warm,High,500.0,1.0,8.41,7.0,7.0,0.0,31.34,52.76,Excellent,Low,Split AC
Hospital,Hot,Low,109301.58,5.0,14.35,9357.0,20.0,16.0,36.5,18.51,Poor,Low,Central Chiller
Office,Warm,High,36366.61,1.0,10.36,2328.0,11.0,14.0,29.47,60.19,Excellent,High,Multi-Split
,Cold,Medium,23313.0,1.0,10.17,1246.0,8.0,10.0,11.34,32.03,Good,Medium,VRF
Office,Hot,Low,40149.68,2.0,10.42,3421.0,10.0,0.0,37.36,47.65,Poor,High,Central Chiller
Office,Hot,Low,37314.83,,12.09,2538.0,9.0,0.0,34.73,29.88,Poor,Medium,Packaged Unit
Office,Hot,Medium,33367.47,4.0,12.03,1624.0,8.0,43.0,44.77,44.56,Poor,High,VRF
Residential,Humid,Low,1218.77,1.0,9.39,19.0,,24.0,33.61,79.27,Poor,Medium,Split AC
Office,Warm,High,41397.91,1.0,10.36,4471.0,10.0,20.0,29.28,58.04,Good,Medium,Multi-Split
Office,Cold,Medium,18477.78,1.0,12.54,1374.0,11.0,14.0,22.97,34.22,Average,High,Packaged Unit
Office,Warm,Medium,35778.3,3.0,13.32,1158.0,8.0,20.0,38.58,56.54,Good,High,Central Chiller
Residential,Hot,Low,2046.61,1.0,,13.0,13.0,27.0,36.65,39.11,Average,Medium,Split AC
Retail,Cold,Medium,35716.6,2.0,14.84,3549.0,14.0,22.0,19.88,26.99,Poor,High,VRF
Residential,Hot,Low,1314.67,1.0,9.75,22.0,10.0,24.0,33.72,50.55,Average,Low,Central Chiller
Residential,Warm,Low,1482.26,1.0,10.37,19.0,10.0,10.0,23.89,44.4,Average,Low,Split AC
,Warm,Medium,48623.14,3.0,17.27,4487.0,14.0,10.0,25.93,45.43,Average,High,Packaged Unit
Residential,Humid,Low,1695.11,1.0,8.28,23.0,12.0,13.0,30.34,87.7,Poor,Medium,Split AC
Retail,Hot,High,31460.81,1.0,16.41,4165.0,15.0,17.0,35.69,39.74,Good,High,VRF
Industrial,Cold,Low,52561.83,1.0,16.45,3813.0,19.0,27.0,19.8,21.0,Poor,Low,Central Chiller
Industrial,Hot,Low,114683.06,4.0,35.32,6546.0,19.0,11.0,36.27,44.22,Average,Low,Central Chiller
Residential,Warm,Medium,2132.49,1.0,10.43,43.0,,37.0,29.24,37.27,Poor,Low,Split AC
Retail,Warm,Low,43490.28,4.0,15.54,5514.0,10.0,10.0,23.85,52.4,Poor,Medium,Packaged Unit
Office,Warm,Medium,32605.97,1.0,11.56,1498.0,10.0,20.0,34.2,59.71,Good,,VRF
Office,Warm,Low,25446.29,1.0,12.05,766.0,9.0,9.0,40.27,,Average,Medium,Split AC
Office,Hot,High,38284.84,1.0,12.02,3946.0,11.0,17.0,33.48,17.21,Good,High,VRF
Hospital,Warm,Medium,137756.48,7.0,12.66,9152.0,22.0,36.0,33.28,67.61,Good,Low,Central Chiller
Office,Hot,Medium,27727.33,3.0,12.85,1402.0,10.0,9.0,33.64,33.88,Poor,,VRF
Office,Hot,Low,15837.68,1.0,10.09,930.0,8.0,47.0,40.31,35.53,Average,Medium,VRF
Office,Warm,Medium,8511.0,1.0,12.52,633.0,9.0,50.0,35.92,35.46,Average,Medium,Multi-Split
Office,Hot,Medium,31689.09,1.0,12.99,994.0,,26.0,34.89,43.98,Average,Medium,VRF
Office,Warm,Medium,3913.6,1.0,13.9,228.0,9.0,4.0,30.74,53.94,Good,Medium,Multi-Split
Residential,Warm,Low,1445.4,1.0,10.51,13.0,11.0,37.0,24.41,49.62,Average,Medium,Split AC
Residential,Hot,Low,1656.46,1.0,10.01,37.0,7.0,39.0,37.07,54.14,Poor,Low,Split AC
Office,Warm,Low,,1.0,10.03,3945.0,8.0,11.0,28.37,43.97,Average,Medium,Packaged Unit
Office,Humid,Medium,27335.31,1.0,13.31,1190.0,8.0,68.0,36.32,92.09,Good,Medium,Multi-Split
Hospital,Cold,Medium,161328.33,8.0,13.67,16887.0,23.0,0.0,20.11,35.1,Average,Low,VRF
Industrial,Hot,Low,75541.84,5.0,26.07,3068.0,16.0,33.0,39.79,35.95,Poor,Low,Packaged Unit
Residential,Cold,Low,2473.65,1.0,10.35,,6.0,,11.82,29.14,Average,Low,Split AC
Hospital,Warm,Low,146642.7,8.0,13.48,14562.0,23.0,59.0,28.94,60.14,Average,Low,Central Chiller
Retail,Warm,Medium,32490.9,1.0,15.73,3657.0,13.0,11.0,29.92,37.91,Good,Medium,Packaged Unit
Residential,Humid,Medium,2063.8,1.0,9.2,53.0,9.0,12.0,32.23,89.74,Poor,Low,Split AC
Residential,Warm,Medium,1609.1,1.0,10.18,16.0,11.0,14.0,26.69,34.46,Poor,Low,Split AC
Residential,Humid,High,1900.38,1.0,10.71,28.0,7.0,11.0,,88.81,Excellent,Medium,Split AC
Residential,Warm,High,1570.66,1.0,9.5,58.0,8.0,10.0,25.85,52.44,Excellent,Low,VRF
Retail,Cold,High,46233.43,2.0,12.38,5027.0,15.0,7.0,18.19,28.83,Average,Medium,Central Chiller
Hospital,Cold,Medium,142122.19,8.0,16.03,6129.0,22.0,21.0,10.14,22.39,Good,Low,Central Chiller
Hospital,,Low,171857.17,8.0,14.87,9358.0,22.0,39.0,44.49,38.34,,Low,Central Chiller
Office,Humid,Medium,13707.11,3.0,12.3,917.0,8.0,14.0,39.02,82.97,Average,High,Multi-Split
Residential,Hot,Medium,1587.92,1.0,10.82,26.0,10.0,29.0,40.82,48.42,Good,Medium,Split AC
Industrial,Cold,Medium,102126.76,6.0,20.25,3563.0,22.0,20.0,15.53,,Average,Low,Central Chiller
Retail,Hot,Medium,25514.68,3.0,16.17,2040.0,15.0,29.0,32.01,33.82,Good,High,Packaged Unit
Residential,Cold,Low,3438.32,1.0,10.07,80.0,6.0,33.0,20.15,28.89,Average,Low,Multi-Split
Residential,Hot,Medium,1078.16,1.0,10.9,12.0,9.0,20.0,39.89,30.78,Average,Low,Split AC
Residential,Hot,High,1728.35,1.0,9.51,26.0,8.0,37.0,37.0,,Good,Low,Split AC
Residential,Cold,High,1598.75,3.0,9.63,21.0,6.0,0.0,20.77,27.62,Average,Low,Split AC
Residential,Warm,Low,526.77,1.0,9.04,5.0,9.0,5.0,22.31,48.58,Poor,Low,Packaged Unit
Industrial,Warm,Low,80362.73,6.0,22.66,2194.0,15.0,32.0,24.66,44.8,Poor,Low,VRF
,Cold,Medium,52286.19,4.0,21.36,1571.0,18.0,27.0,17.65,10.46,Average,Medium,VRF
Residential,Hot,High,1894.09,1.0,10.71,47.0,6.0,14.0,37.88,26.92,Excellent,,VRF
Residential,Hot,Medium,1189.73,1.0,9.21,15.0,8.0,23.0,41.49,45.13,Good,Low,VRF
Retail,Humid,Low,50213.36,1.0,13.41,5622.0,14.0,5.0,26.07,85.82,Poor,Medium,VRF
Residential,Hot,Low,1460.59,1.0,9.24,17.0,11.0,25.0,38.25,38.42,Average,Low,Split AC
Office,Hot,Low,1088.49,2.0,10.49,79.0,8.0,26.0,40.84,54.42,Poor,Medium,Multi-Split
Retail,Warm,Medium,66175.87,7.0,14.94,4639.0,13.0,12.0,26.9,48.2,Average,High,VRF
Residential,Humid,Medium,2929.68,1.0,10.24,43.0,8.0,23.0,36.83,83.02,Poor,Low,Multi-Split
Office,Cold,Low,23627.83,1.0,12.72,1627.0,11.0,33.0,14.71,11.27,Average,Medium,Split AC
Industrial,Warm,,34069.44,4.0,19.35,958.0,18.0,13.0,26.61,55.55,Average,Low,Packaged Unit
Retail,Hot,High,38912.32,1.0,13.43,2942.0,10.0,19.0,43.36,49.06,Excellent,Medium,VRF
Office,Warm,Medium,33396.26,2.0,11.75,1474.0,8.0,23.0,33.81,,Good,Medium,Packaged Unit
Residential,Hot,Low,2314.51,1.0,10.27,49.0,6.0,18.0,32.87,16.26,Average,Low,Split AC
Residential,Cold,Low,2523.02,1.0,9.15,23.0,,0.0,11.7,30.65,Poor,Medium,Multi-Split
Residential,Hot,Low,2301.69,1.0,9.07,41.0,7.0,16.0,40.71,54.65,Average,Low,Split AC
Residential,Hot,Low,1763.04,1.0,,,11.0,8.0,39.37,10.8,Poor,Low,Split AC
Residential,Hot,Low,1288.0,1.0,8.65,32.0,6.0,23.0,43.79,63.12,Poor,Low,Split AC
Office,,High,18298.79,1.0,11.63,1674.0,9.0,39.0,34.31,96.5,Good,Medium,VRF
Hospital,Cold,Low,150444.73,7.0,11.19,7037.0,,64.0,8.78,27.94,Average,Low,Central Chiller
Office,Warm,Low,7425.17,2.0,13.91,303.0,11.0,22.0,29.26,41.1,Poor,High,Multi-Split
Hospital,Hot,Medium,139353.45,7.0,15.82,11975.0,21.0,23.0,33.04,29.6,Poor,Low,Central Chiller
Retail,Hot,Low,51856.95,4.0,15.69,2235.0,11.0,0.0,42.62,40.68,Average,High,VRF
Retail,Hot,Medium,34603.32,3.0,16.47,3934.0,13.0,0.0,35.13,45.79,Poor,High,Packaged Unit
Office,Hot,Medium,34618.98,1.0,10.86,2014.0,11.0,33.0,42.67,36.58,Average,Medium,VRF
Office,Cold,Low,40334.43,1.0,12.67,3347.0,9.0,27.0,14.28,38.95,Poor,Medium,Central Chiller
Residential,Humid,Medium,2207.47,1.0,10.21,34.0,8.0,13.0,30.83,79.63,Average,Low,Multi-Split
Hospital,Cold,Medium,100198.51,7.0,11.46,10667.0,21.0,40.0,11.29,29.86,Average,Medium,Central Chiller
Office,Cold,Low,23585.43,2.0,12.75,2036.0,9.0,11.0,11.14,20.11,Poor,High,VRF
Industrial,Humid,High,,4.0,17.98,3373.0,22.0,27.0,39.6,70.79,Average,,Packaged Unit
Office,Hot,Medium,45176.44,3.0,12.73,2183.0,11.0,33.0,,37.62,Average,Medium,VRF
Office,Hot,Medium,33232.3,1.0,10.08,2429.0,10.0,25.0,35.88,58.11,Average,High,VRF
Office,Hot,Medium,39353.13,2.0,13.33,776.0,11.0,16.0,48.95,51.88,Good,High,Packaged Unit
Residential,Warm,,1660.44,1.0,10.84,56.0,8.0,21.0,27.68,52.49,Poor,Low,Packaged Unit
Office,Hot,Medium,22463.51,2.0,12.23,1125.0,10.0,18.0,32.13,49.76,Poor,Medium,Central Chiller
Hospital,Hot,Medium,177148.45,7.0,16.67,11141.0,20.0,66.0,43.68,36.12,Average,Low,Central Chiller
Residential,Warm,Low,1795.9,1.0,9.26,58.0,12.0,7.0,32.23,47.21,Poor,Low,Split AC
Residential,Warm,Medium,1724.1,1.0,10.07,36.0,12.0,41.0,40.62,45.56,Poor,Low,Packaged Unit
Residential,Hot,Medium,3022.32,1.0,9.56,71.0,11.0,,36.88,22.36,Good,Low,Multi-Split
Office,Humid,Low,34682.11,1.0,11.38,2575.0,9.0,12.0,37.9,87.0,Poor,High,VRF
Residential,Warm,Low,1202.98,1.0,8.09,13.0,6.0,13.0,24.71,64.93,Poor,Medium,Split AC
Hospital,Humid,Medium,180813.54,,16.04,15612.0,22.0,20.0,32.11,89.73,Average,Low,Central Chiller
Residential,Humid,High,1415.15,1.0,10.96,,9.0,33.0,38.13,81.77,Average,Low,Multi-Split
Office,Warm,Low,23857.39,2.0,11.4,826.0,10.0,10.0,32.71,59.05,Average,Medium,Packaged Unit
Residential,Hot,High,2175.92,1.0,8.2,33.0,6.0,30.0,36.14,,Average,Medium,Split AC
Industrial,Warm,Medium,31101.16,1.0,17.74,807.0,13.0,35.0,32.47,53.01,Good,Low,Packaged Unit
Retail,Warm,Low,35178.03,3.0,17.78,2961.0,12.0,0.0,25.67,51.15,Poor,Medium,VRF
Industrial,,Medium,12943.96,1.0,20.88,520.0,12.0,40.0,33.19,84.59,Average,Low,Multi-Split
Hospital,Warm,Medium,71556.28,2.0,13.35,2711.0,22.0,14.0,33.01,38.67,Good,Low,VRF
Industrial,Hot,Low,92171.51,4.0,22.17,3531.0,23.0,5.0,34.58,41.05,Poor,Medium,VRF
Hospital,Cold,Medium,168905.47,11.0,12.98,14415.0,20.0,26.0,10.46,39.14,Average,Low,Central Chiller
Office,Hot,High,21791.71,4.0,,1867.0,11.0,28.0,42.47,47.69,Good,High,VRF
Hospital,Warm,Low,175031.37,8.0,13.5,23580.0,23.0,31.0,31.06,54.08,Poor,Low,Central Chiller
Residential,Cold,High,2290.1,1.0,8.02,71.0,6.0,23.0,13.3,29.95,Average,Low,Split AC
Office,Warm,Medium,12780.53,2.0,13.97,882.0,10.0,33.0,23.79,37.33,Average,High,Multi-Split
Residential,Warm,Medium,2059.77,1.0,9.84,25.0,8.0,28.0,32.2,47.24,Good,Low,Multi-Split
Residential,Warm,Medium,823.01,2.0,9.93,6.0,11.0,21.0,25.35,33.37,Average,Low,Multi-Split
Industrial,Hot,Medium,61712.56,1.0,26.98,1962.0,18.0,14.0,36.01,47.1,Average,Low,VRF
Office,Warm,High,44065.62,2.0,11.31,6061.0,11.0,30.0,28.85,47.09,Excellent,,VRF
Hospital,Warm,High,103086.26,6.0,14.51,10727.0,21.0,57.0,37.83,48.32,Good,Medium,Central Chiller
Retail,Hot,Medium,20648.63,1.0,16.57,2162.0,15.0,23.0,41.34,28.1,Good,High,Packaged Unit
Office,Warm,Medium,8783.6,1.0,10.06,434.0,10.0,14.0,33.51,45.28,Poor,Medium,Multi-Split
Residential,Hot,Medium,2166.17,,10.76,46.0,6.0,26.0,41.64,34.53,Good,Medium,Split AC
Residential,Warm,Low,1557.19,1.0,10.91,42.0,7.0,32.0,36.32,40.31,Poor,Low,Split AC
Office,Hot,Medium,7217.68,1.0,13.77,646.0,8.0,12.0,43.81,23.75,Good,High,Central Chiller
Retail,Warm,Medium,25730.7,1.0,14.14,2926.0,14.0,18.0,34.79,55.41,Average,Medium,Packaged Unit
Office,Warm,Medium,500.0,1.0,11.87,12.0,10.0,12.0,33.89,60.66,Good,Medium,Packaged Unit
Residential,Cold,Medium,952.78,1.0,9.31,32.0,10.0,25.0,12.59,37.18,Average,Medium,Packaged Unit
Hospital,Hot,Low,26427.33,1.0,11.64,5266.0,22.0,63.0,45.01,25.07,Average,Low,VRF
Residential,Cold,Medium,2979.9,3.0,9.19,31.0,10.0,2.0,20.6,37.34,Average,Low,Multi-Split
Residential,Cold,Medium,3110.72,1.0,8.64,36.0,12.0,16.0,16.11,29.09,,Low,Multi-Split
Retail,,High,34357.23,1.0,16.75,4038.0,13.0,18.0,38.52,34.12,Good,Medium,VRF
Office,Hot,Medium,34221.54,1.0,10.89,3050.0,10.0,40.0,40.88,27.75,Good,High,Multi-Split
Office,Warm,Medium,37888.33,1.0,12.9,1488.0,10.0,48.0,30.22,44.28,Poor,High,Split AC
Residential,Humid,Low,1220.94,1.0,9.22,48.0,,41.0,32.19,97.11,Poor,Low,Split AC
Office,Hot,Medium,17112.23,1.0,12.23,953.0,10.0,23.0,41.79,19.98,Average,High,Multi-Split
Industrial,Warm,Medium,53378.49,4.0,27.32,2158.0,22.0,40.0,31.9,49.39,Average,Low,VRF
Residential,Hot,Medium,1848.86,2.0,10.3,50.0,6.0,22.0,40.1,51.04,Poor,Low,Split AC
Industrial,Warm,Medium,60463.68,3.0,23.86,1955.0,18.0,45.0,31.32,60.11,Poor,Low,Packaged Unit
Industrial,Hot,Medium,43260.99,1.0,17.1,1860.0,13.0,46.0,39.63,54.34,Good,Low,Packaged Unit
Office,Hot,Medium,44623.92,3.0,13.04,2346.0,10.0,,38.78,43.14,Good,Medium,VRF
Industrial,Warm,Medium,82832.97,4.0,29.44,1714.0,22.0,43.0,27.36,39.6,Average,Medium,Packaged Unit
Residential,Humid,Low,1858.43,1.0,9.04,64.0,13.0,31.0,27.23,100.91,Poor,Low,Split AC
Residential,Warm,Medium,2262.9,1.0,9.27,33.0,12.0,12.0,26.27,,Poor,Low,Packaged Unit
Residential,Humid,Medium,2521.11,1.0,8.75,21.0,6.0,24.0,30.51,83.7,Good,Low,Multi-Split
Office,Hot,High,500.0,1.0,12.25,15.0,10.0,,34.0,25.33,Excellent,High,Multi-Split
Office,Hot,Medium,27964.97,1.0,12.51,927.0,8.0,36.0,36.46,46.57,Good,High,VRF
Residential,Warm,High,1707.94,1.0,8.77,21.0,6.0,26.0,30.95,47.33,Good,Low,Split AC
Hospital,Hot,Low,,1.0,13.77,2957.0,22.0,15.0,40.73,44.55,Average,Medium,Central Chiller
Industrial,Cold,High,106395.06,6.0,18.21,3758.0,19.0,43.0,17.62,33.06,Poor,Low,Central Chiller
Residential,Humid,Low,984.7,1.0,10.13,19.0,,15.0,31.84,85.44,Average,Low,Split AC
Office,Hot,Medium,45082.98,3.0,12.34,2234.0,8.0,16.0,38.45,37.43,Average,,VRF
Residential,Warm,Low,1407.5,1.0,10.45,27.0,9.0,,35.9,35.41,Average,Medium,Split AC
Industrial,,High,103610.49,5.0,26.1,4468.0,18.0,14.0,31.58,44.71,Excellent,Low,Central Chiller
Residential,Warm,Low,2294.65,1.0,8.04,48.0,8.0,0.0,27.4,52.2,Poor,Low,Split AC
Residential,Hot,Low,3536.42,1.0,10.79,56.0,9.0,9.0,37.04,58.01,Average,Low,Multi-Split
Residential,Humid,Medium,1268.76,1.0,9.36,14.0,,1.0,32.6,84.62,Poor,Low,Split AC
Residential,Humid,Low,2580.38,1.0,8.12,42.0,7.0,30.0,39.26,77.82,Average,Medium,Multi-Split
Residential,Warm,Low,860.62,1.0,10.73,11.0,8.0,24.0,31.19,49.67,Average,Low,Split AC
Residential,Humid,Low,1267.88,2.0,8.02,13.0,6.0,39.0,29.72,80.27,Poor,Low,Split AC
Industrial,Hot,Medium,124841.79,7.0,24.43,4441.0,19.0,59.0,45.79,53.31,Poor,Medium,Packaged Unit
Retail,Humid,Low,72279.86,4.0,12.78,4734.0,12.0,29.0,28.22,94.24,Average,High,VRF
Retail,Hot,Medium,43428.81,2.0,17.45,3514.0,15.0,17.0,34.11,29.33,Average,Medium,Central Chiller
Retail,Warm,High,31083.12,3.0,12.69,5625.0,10.0,40.0,33.76,46.53,Good,,Packaged Unit
Industrial,Warm,Medium,74066.95,,23.27,1506.0,18.0,15.0,31.95,61.65,Good,Low,Packaged Unit
Residential,Hot,High,2902.37,1.0,9.7,25.0,8.0,12.0,38.95,,Good,Low,Multi-Split
Residential,Warm,High,640.86,1.0,9.91,10.0,12.0,19.0,29.65,46.26,Good,Low,Split AC
Office,Hot,Low,29657.41,1.0,13.26,1257.0,11.0,38.0,38.72,38.86,Poor,High,VRF
Retail,Warm,High,71760.09,3.0,12.97,10026.0,10.0,11.0,31.24,41.6,Excellent,High,VRF
Office,Warm,Low,30709.13,2.0,12.14,3735.0,9.0,35.0,24.93,46.92,Average,High,Multi-Split
Residential,Cold,Medium,682.64,1.0,9.93,13.0,10.0,45.0,9.39,47.69,Good,Low,Split AC
Office,,Medium,41985.1,3.0,11.3,1761.0,8.0,0.0,40.77,40.57,Average,Medium,Packaged Unit
,Hot,Medium,1472.59,1.0,8.87,34.0,10.0,29.0,48.86,45.22,Good,Medium,Split AC
Office,Humid,,35862.12,3.0,12.93,880.0,11.0,,28.99,80.33,Average,Medium,VRF
Industrial,Hot,Medium,97182.7,7.0,25.51,5359.0,15.0,64.0,37.26,40.7,Average,Medium,Packaged Unit
Office,Warm,High,22647.37,1.0,11.21,1642.0,9.0,38.0,34.11,45.7,Average,Medium,VRF
Retail,Hot,Low,,1.0,15.67,4100.0,10.0,19.0,36.47,13.06,Average,High,Packaged Unit
Retail,Cold,Low,75006.6,4.0,16.63,3940.0,10.0,18.0,10.31,26.72,Poor,Medium,VRF
,Hot,High,500.0,1.0,25.72,18.0,17.0,0.0,35.7,36.29,Good,Medium,Central Chiller
Office,Hot,Low,37792.01,2.0,11.68,2254.0,10.0,11.0,34.86,44.62,Poor,Medium,VRF
Retail,Warm,Medium,6356.11,1.0,12.63,615.0,15.0,1.0,33.31,38.23,Good,Medium,Central Chiller
Residential,Hot,Medium,1897.53,1.0,10.84,45.0,6.0,13.0,39.23,42.37,Poor,Medium,Packaged Unit
Office,Humid,Low,500.0,1.0,12.77,36.0,8.0,29.0,27.34,99.23,Poor,High,Split AC
Residential,Warm,Medium,1923.99,1.0,9.39,70.0,11.0,2.0,27.6,43.86,Poor,Medium,Central Chiller
Industrial,Cold,High,6372.75,1.0,27.55,211.0,21.0,,5.35,47.46,Excellent,Low,Multi-Split
Office,Humid,Medium,24531.04,1.0,11.45,,10.0,14.0,39.59,93.67,Good,High,Multi-Split
Hospital,Cold,Medium,101406.95,5.0,17.44,5219.0,21.0,0.0,14.26,53.59,Average,Low,Central Chiller
Office,Warm,Medium,19248.56,1.0,10.6,593.0,8.0,34.0,31.08,49.75,Average,High,Multi-Split
Residential,Cold,,2680.83,1.0,8.98,34.0,6.0,43.0,13.56,43.15,Average,Medium,Multi-Split
Residential,Humid,Medium,3101.04,1.0,9.09,35.0,11.0,24.0,28.34,84.73,Average,Medium,Multi-Split
Office,Warm,Medium,13331.17,1.0,12.32,1495.0,11.0,63.0,35.4,56.28,Average,High,Multi-Split
Retail,Warm,Low,61674.33,2.0,13.32,6770.0,14.0,2.0,35.01,40.97,,High,Multi-Split
Residential,Humid,Low,1857.95,1.0,9.64,28.0,8.0,0.0,,96.78,Poor,Medium,Split AC
Industrial,Hot,Low,121092.22,8.0,19.8,8687.0,19.0,46.0,38.24,39.02,Average,Medium,VRF
Residential,Hot,Low,1549.07,1.0,8.86,28.0,,0.0,39.47,19.25,Poor,Low,Split AC
Residential,Hot,Low,2443.99,1.0,10.33,52.0,7.0,0.0,40.12,45.24,,Low,Split AC
Office,Cold,Medium,45656.47,2.0,11.83,3537.0,8.0,7.0,17.34,43.31,Average,High,VRF
Office,Hot,Low,40739.34,2.0,12.95,3033.0,9.0,38.0,37.45,39.29,,High,VRF
Office,Hot,Medium,14922.21,1.0,13.57,912.0,10.0,32.0,36.51,35.31,Average,High,Multi-Split
